little,ring,middle,pointer,thumb,accel_x,accel_y,accel_z,result
55,25,90,41,90,7.8051,5.19542,4.52744,A
54,24,85,41,90,7.84101,3.85706,5.86819,A
50,24,86,42,90,8.74602,3.12683,5.56412,A
51,25,90,43,90,8.11634,3.84269,3.66073,A
53,25,87,41,90,8.78433,4.60644,3.32794,A
53,24,15,41,90,8.53294,3.93367,4.10127,A
53,24,78,40,90,9.26077,4.0462,1.68552,A
54,24,78,40,90,9.25838,4.07493,1.80762,A
53,25,79,40,90,9.26317,4.08211,1.75016,A
54,24,79,41,90,9.31105,3.98635,1.81241,A
59,27,80,41,90,9.72046,2.79403,0.75178,A
60,32,85,41,90,9.68455,2.94966,0.2897,A
46,27,84,38,87,9.56005,3.27527,1.30484,A
42,24,71,35,76,9.26795,4.12042,1.1157,A
40,22,77,37,77,9.19134,4.0462,-0.15323,A
42,23,30,35,84,8.9615,4.66869,1.30963,A
46,27,79,34,90,9.04769,4.65433,0.7829,A
46,26,14,34,90,9.17937,4.32153,1.45567,A
33,26,14,33,82,8.40844,5.63595,0.51954,A
44,25,11,32,81,8.43477,5.31513,0.67277,A
27,0,90,72,-1,5.66229,0.57461,9.99819,A
